13:18:51.341 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 100%25renewableenergy.txt
13:18:51.345 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 3522
13:18:51.345 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
13:18:51.345 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
13:18:51.345 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
13:18:51.345 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 11
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.4235245363458913
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.9479174310962408
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.532067987134329
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.9290363550803415
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.9290363550803415
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1973oilcrisis.txt
13:18:51.348 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 5326
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.9990038843209024
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.3202630269403337
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.7161896555498917
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.5401065168408985
13:18:51.349 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.5401065168408985
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1979energycrisis.txt
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2097
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.9689468917425708
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4820069743374555
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
13:18:51.350 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.926438131578215
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6556727701527281
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6556727701527281
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 88888LightsOut.txt
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 179
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.3571013321992943
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.8666995516457405
13:18:51.351 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.4264941115395033
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.8864474631301268
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.8864474631301268
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Africa.txt
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 6737
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 2.4491155029421554
13:18:51.352 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.211205744572022
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.5744277671657079
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.4538918838255386
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.4538918838255386
13:18:51.353 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: Agenda21.txt
