07:59:06.267 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 100%25renewableenergy.txt
07:59:06.270 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 3522
07:59:06.270 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
07:59:06.270 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
07:59:06.270 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
07:59:06.270 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 11
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.4235245363458913
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.9479174310962408
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 2.532067987134329
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.9290363550803415
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.9290363550803415
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1973oilcrisis.txt
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 5326
07:59:06.271 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 3
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 1.9990038843209024
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.3202630269403337
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.7161896555498917
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.5401065168408985
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.5401065168408985
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 1979energycrisis.txt
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 2097
07:59:06.272 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - N = 996
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - qfi = 1
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - fi = 2
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - K = 0.9689468917425708
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term1 = 1.2998846597462514
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term2 = 1.4820069743374555
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - term3 = 1.0
07:59:06.273 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Multiplication = 1.926438131578215
07:59:06.274 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Score = 0.6556727701527281
07:59:06.274 [main] INFO  n.i.a.task01.relevencemodels.BM25 - bm25Score: 0.6556727701527281
07:59:06.274 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Processing doc: 88888LightsOut.txt
07:59:06.274 [main] INFO  n.i.a.task01.relevencemodels.BM25 - Doc length = 179
07:59:06.274 [main] INFO  n.i.a.task01.relevencemodels.BM25 - ni = 433
